         11980 function calls (11725 primitive calls) in 0.066 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 base.py:1964(inferred_type)
        4    0.000    0.000    0.000    0.000 base.py:1976(is_all_dates)
        2    0.000    0.000    0.000    0.000 base.py:2033(__contains__)
       12    0.000    0.000    0.000    0.000 base.py:2067(__getitem__)
        1    0.000    0.000    0.000    0.000 base.py:2179(take)
        1    0.000    0.000    0.000    0.000 base.py:2197(_assert_take_fillable)
        6    0.000    0.000    0.001    0.000 base.py:2445(equals)
        1    0.000    0.000    0.000    0.000 base.py:2465(identical)
      7/5    0.001    0.000    0.003    0.001 base.py:255(__new__)
        2    0.000    0.000    0.000    0.000 base.py:3071(get_loc)
        1    0.000    0.000    0.000    0.000 base.py:3219(get_indexer)
        1    0.000    0.000    0.000    0.000 base.py:3389(_maybe_promote)
        1    0.000    0.000    0.000    0.000 base.py:3559(_can_reindex)
        1    0.000    0.000    0.001    0.001 base.py:3578(reindex)
        2    0.000    0.000    0.000    0.000 base.py:444(<genexpr>)
        6    0.000    0.000    0.000    0.000 base.py:473(_simple_new)
        1    0.000    0.000    0.000    0.000 base.py:4874(_ensure_index_from_sequences)
       18    0.000    0.000    0.004    0.000 base.py:4914(_ensure_index)
        1    0.000    0.000    0.000    0.000 base.py:4977(_ensure_has_len)
        1    0.000    0.000    0.000    0.000 base.py:510(_shallow_copy)
      131    0.001    0.000    0.002    0.000 base.py:61(is_dtype)
        6    0.000    0.000    0.000    0.000 base.py:615(is_)
        6    0.000    0.000    0.000    0.000 base.py:635(_reset_identity)
       47    0.000    0.000    0.000    0.000 base.py:641(__len__)
        5    0.000    0.000    0.000    0.000 base.py:662(dtype)
       23    0.000    0.000    0.000    0.000 base.py:672(values)
        5    0.000    0.000    0.000    0.000 base.py:677(_values)
        8    0.000    0.000    0.000    0.000 base.py:711(get_values)
        1    0.000    0.000    0.000    0.000 base.py:766(size)
        3    0.000    0.000    0.000    0.000 base.py:789(_ndarray_values)
        1    0.000    0.000    0.000    0.000 base.py:803(empty)
        1    0.000    0.000    0.000    0.000 base.py:893(tolist)
        1    0.000    0.000    0.000    0.000 base.py:912(__iter__)
        1    0.000    0.000    0.000    0.000 base.py:920(_get_attributes_dict)
        1    0.000    0.000    0.000    0.000 base.py:922(<dictcomp>)
        5    0.000    0.000    0.000    0.000 cast.py:1207(construct_1d_object_array_from_listlike)
       10    0.000    0.000    0.000    0.000 cast.py:1232(construct_1d_ndarray_preserving_na)
        7    0.000    0.000    0.001    0.000 cast.py:257(maybe_promote)
       13    0.000    0.000    0.000    0.000 cast.py:853(maybe_castable)
        9    0.000    0.000    0.001    0.000 cast.py:867(maybe_infer_to_datetimelike)
       12    0.000    0.000    0.002    0.000 cast.py:971(maybe_cast_to_datetime)
        1    0.000    0.000    0.000    0.000 common.py:100(is_bool_indexer)
        5    0.000    0.000    0.000    0.000 common.py:1043(is_datetime64_any_dtype)
        2    0.000    0.000    0.000    0.000 common.py:1083(is_datetime64_ns_dtype)
        1    0.000    0.000    0.000    0.000 common.py:113(_validate_header_arg)
        2    0.000    0.000    0.000    0.000 common.py:1170(is_datetime_or_timedelta_dtype)
        2    0.000    0.000    0.013    0.007 common.py:121(_stringify_path)
        1    0.000    0.000    0.000    0.000 common.py:122(NeverRaised)
       38    0.000    0.000    0.001    0.000 common.py:122(is_sparse)
        1    0.000    0.000    0.000    0.000 common.py:125(PathBase)
        1    0.000    0.000    0.000    0.000 common.py:1405(needs_i8_conversion)
        1    0.000    0.000    0.000    0.000 common.py:1490(is_string_like_dtype)
       17    0.000    0.000    0.000    0.000 common.py:1527(is_float_dtype)
       15    0.000    0.000    0.001    0.000 common.py:1578(is_bool_dtype)
       10    0.000    0.000    0.001    0.000 common.py:1629(is_extension_type)
        1    0.000    0.000    0.000    0.000 common.py:164(is_s3_url)
       35    0.000    0.000    0.002    0.000 common.py:1688(is_extension_array_dtype)
        1    0.000    0.000    0.000    0.000 common.py:172(get_filepath_or_buffer)
       22    0.000    0.000    0.000    0.000 common.py:1784(_get_dtype)
      103    0.001    0.000    0.002    0.000 common.py:1835(_get_dtype_type)
       18    0.000    0.000    0.001    0.000 common.py:195(is_categorical)
       18    0.000    0.000    0.001    0.000 common.py:1965(pandas_dtype)
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
       46    0.000    0.000    0.002    0.000 common.py:227(is_datetimetz)
        1    0.000    0.000    0.013    0.013 common.py:246(_infer_compression)
        7    0.000    0.000    0.000    0.000 common.py:301(_asarray_tuplesafe)
       14    0.000    0.000    0.000    0.000 common.py:332(is_datetime64_dtype)
       58    0.000    0.000    0.001    0.000 common.py:369(is_datetime64tz_dtype)
        2    0.000    0.000    0.000    0.000 common.py:395(_apply_if_callable)
        1    0.000    0.000    0.000    0.000 common.py:397(Visitor)
       10    0.000    0.000    0.000    0.000 common.py:407(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:432(FNMatcher)
        5    0.000    0.000    0.000    0.000 common.py:444(is_period_dtype)
        1    0.000    0.000    0.000    0.000 common.py:47(Checkers)
       22    0.000    0.000    0.000    0.000 common.py:477(is_interval_dtype)
       60    0.000    0.000    0.001    0.000 common.py:513(is_categorical_dtype)
